Place,Title,Name,Type,Latitude,Longitude,Code,Enclosed_by,Date
[P0000],Montréal,Montréal,Unknown,,,,,
[P0001],"Saint-Luc, Huntingdon, Canada East (Quebec), Canada","Saint-Luc, Huntingdon, Canada East (Quebec), Canada",Unknown,,,,,
[P0002],"Notre Dame, Montreal, Quebec, Canada","Notre Dame, Montreal, Quebec, Canada",Unknown,,,,,
[P0003],"Saint-Constant, La Prairie, Quebec, Canada","Saint-Constant, La Prairie, Quebec, Canada",Unknown,,,,,
[P0004],"Ste Blaise, Quebec, Canada","Ste Blaise, Quebec, Canada",Unknown,,,,,
[P0005],Montréal ; ; Qc ; Can,Montréal ; ; Qc ; Can,Unknown,,,,,
[P0006],"St Constant, Cte Laprairie, Quebec, Canada","St Constant, Cte Laprairie, Quebec, Canada",Unknown,,,,,
[P0007],"Montréal, , , Qc, Can,","Montréal, , , Qc, Can,",Unknown,,,,,
[P0008],"Montréal (Basilique Notre-Dame), Quebec, Canada","Montréal (Basilique Notre-Dame), Quebec, Canada",Unknown,,,,,
[P0009],"Montréal (Basilique Notre-Dame), Québec","Montréal (Basilique Notre-Dame), Québec",Unknown,,,,,
[P0010],"Montréal, Quebec, Canada","Montréal, Quebec, Canada",Unknown,,,,,
[P0011],"St Isidore, Cte Napierville, Laprairie, Quebec, Canada","St Isidore, Cte Napierville, Laprairie, Quebec, Canada",Unknown,,,,,
[P0012],"Notre Dame de Graces, Montreal, Quebec, Canada","Notre Dame de Graces, Montreal, Quebec, Canada",Unknown,,,,,
[P0013],"St Raphael, Ile Bizard, Cte Jacques Cartier, Quebec, Canada","St Raphael, Ile Bizard, Cte Jacques Cartier, Quebec, Canada",Unknown,,,,,
[P0014],Quebec,Quebec,Unknown,,,,,
[P0015],Qc,Qc,Unknown,,,,,
[P0016],Sherrington,Sherrington,Unknown,,,,,
[P0017],"St-Philippe, Roussillon, Quebec, Canada","St-Philippe, Roussillon, Quebec, Canada",Unknown,,,,,
[P0018],"Sherrington, Québec, Canada","Sherrington, Québec, Canada",Unknown,,,,,
[P0019],"St-Constant, Roussillon, Quebec, Canada","St-Constant, Roussillon, Quebec, Canada",Unknown,,,,,
[P0020],"St-Patrice, Sherrington, Les Jardins-de-Napierville, Quebec, Canada","St-Patrice, Sherrington, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0021],"Quebec, Canada","Quebec, Canada",Unknown,,,,,
[P0023],"Sherrington, Les Jardins-de-Napierville, Quebec, Canada","Sherrington, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0022],"St-Edouard, Les Jardins-de-Napierville, Quebec, Canada","St-Edouard, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0024],"Sherrington, Laprairie-Napierville, Quebec, Canada","Sherrington, Laprairie-Napierville, Quebec, Canada",Unknown,,,,,
[P0025],"St-Édouard, Les Jardins-de-Napierville, Quebec, Canada","St-Édouard, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0026],"St-Remi, Les Jardins-de-Napierville, Quebec, Canada","St-Remi, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0027],"Scotia, Schenectady, New York, USA","Scotia, Schenectady, New York, USA",Unknown,,,,,
[P0028],"St-Joseph-de-Beauce, Robert-Cliche, Quebec, Canada","St-Joseph-de-Beauce, Robert-Cliche, Quebec, Canada",Unknown,,,,,
[P0029],"New Bedford, Bristol, Massachusetts, USA","New Bedford, Bristol, Massachusetts, USA",Unknown,,,,,
[P0030],"Notre-Dame-de-LaPrairie-de-la-Madeleine, La Prairie, Roussillon, Quebec, Canada","Notre-Dame-de-LaPrairie-de-la-Madeleine, La Prairie, Roussillon, Quebec, Canada",Unknown,,,,,
[P0031],"Québec, Canada","Québec, Canada",Unknown,,,,,
[P0032],"St-Michel, Les Jardins-de-Napierville, Quebec, Canada","St-Michel, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0033],"St Francois, Beauceville, Quebec, Canada","St Francois, Beauceville, Quebec, Canada",Unknown,,,,,
[P0034],"Malone, Franklin, New York, USA","Malone, Franklin, New York, USA",Unknown,,,,,
[P0035],"Sherrington, Quebec, Canada","Sherrington, Quebec, Canada",Unknown,,,,,
[P0036],"St-Rémi, Les Jardins-de-Napierville, Quebec, Canada","St-Rémi, Les Jardins-de-Napierville, Quebec, Canada",Unknown,,,,,
[P0037],Canada,Canada,Unknown,,,,,
[P0038],"Saint-Constant, Roussillon, Quebec, Canada","Saint-Constant, Roussillon, Quebec, Canada",Unknown,,,,,
[P0039],"St Benoit, Quebec, Canada","St Benoit, Quebec, Canada",Unknown,,,,,
[P0040],"Ste Scholastique, Deux Montagnes, Quebec, Canada","Ste Scholastique, Deux Montagnes, Quebec, Canada",Unknown,,,,,
[P0041],"ND de la Salette, Quebec, Canada","ND de la Salette, Quebec, Canada",Unknown,,,,,
[P0042],"St Eustache, Quebec, Canada","St Eustache, Quebec, Canada",Unknown,,,,,
[P0043],"Gaspé, , Quebec, Canada","Gaspé, , Quebec, Canada",Unknown,,,,,
[P0044],"Rivière-la-madeleine, comté Gaspé, Québec, Canada","Rivière-la-madeleine, comté Gaspé, Québec, Canada",Unknown,,,,,
[P0045],"Madeleine, Orne, Basse-Normandie, France","Madeleine, Orne, Basse-Normandie, France",Unknown,,,,,
[P0046],"Mont-Louis,Gaspesie,Québec,Canada","Mont-Louis,Gaspesie,Québec,Canada",Unknown,,,,,
[P0047],"Ste-Madeleine,QC,CND","Ste-Madeleine,QC,CND",Unknown,,,,,
[P0048],Rivière Madeleine,Rivière Madeleine,Unknown,,,,,
[P0049],"Montréal, , Quebec, Canada","Montréal, , Quebec, Canada",Unknown,,,,,
[P0050],"Ste Anne Des Monts, Denis, Quebec, Canada","Ste Anne Des Monts, Denis, Quebec, Canada",Unknown,,,,,
[P0051],St-Urbain (Charlevoix) ; ; Qc ; Can,St-Urbain (Charlevoix) ; ; Qc ; Can,Unknown,,,,,
[P0052],"Sainte-Madeleine-de-la-Rivière-Madeleine,,,,,","Sainte-Madeleine-de-la-Rivière-Madeleine,,,,,",Unknown,,,,,
[P0053],"Grande Vallée, Gaspésie Quebec","Grande Vallée, Gaspésie Quebec",Unknown,,,,,
[P0055],"Rivière-la-Madeleine, La Haute-Gaspésie, Quebec, Canada","Rivière-la-Madeleine, La Haute-Gaspésie, Quebec, Canada",Unknown,,,,,
[P0054],montreal,montreal,Unknown,,,,,
[P0056],"Rivière-la-Madeleine,  (Comté-de-Gaspé), Québec, Canada","Rivière-la-Madeleine,  (Comté-de-Gaspé), Québec, Canada",Unknown,,,,,
[P0057],"Mont-Louis, La Haute-Gaspésie, Quebec, Canada","Mont-Louis, La Haute-Gaspésie, Quebec, Canada",Unknown,,,,,
[P0058],"Terrebonne, Québec, Canada","Terrebonne, Québec, Canada",Unknown,,,,,
[P0059],"Montréal, Québec, Canada","Montréal, Québec, Canada",Unknown,,,,,
[P0060],"Notre Dame de Laprairie de la Madeine, Laprairie, Quebec, Canada","Notre Dame de Laprairie de la Madeine, Laprairie, Quebec, Canada",Unknown,,,,,
[P0061],"Laprairie,  ,  Quebec,  Canada","Laprairie,  ,  Quebec,  Canada",Unknown,,,,,
[P0062],"Fort de la, Michigan, United States","Fort de la, Michigan, United States",Unknown,,,,,
[P0063],"Assomption de Detroit (Sandwich), Ontario, Canada","Assomption de Detroit (Sandwich), Ontario, Canada",Unknown,,,,,
[P0064],"Windsor, Ontario, Canada","Windsor, Ontario, Canada",Unknown,,,,,
